Year,Doctorate recipients (research),Postdocs (SEH),Other doctorate-holding nonfaculty (SEH)
1958,8773,,
1959,9213,,
1960,9733,,
1961,10413,,
1962,11500,,
1963,12728,,
1964,14325,,
1965,16340,,
1966,17949,,
1967,20403,,
1968,22937,,
1969,25743,,
1970,29498,,
1971,31867,,
1972,33041,,
1973,33755,,
1974,33047,,
1975,32952,,
1976,32946,,
1977,31716,,
1978,30875,,
1979,31238,18101,2687
1980,31019,18399,3260
1981,31355,19634,3559
1982,31108,19363,4026
1983,31280,20712,4896
1984,31334,21535,5042
1985,31295,22387,5103
1986,31897,23721,4846
1987,32365,24881,4597
1988,33497,26123,4869
1989,34325,27932,4908
1990,36065,29565,5255
1991,37530,30865,5478
1992,38886,32747,5482
1993,39800,34322,6001
1994,41034,36377,6209
1995,41747,35926,6534
1996,42437,37107,6604
1997,42539,38481,6722
1998,42636,40086,7100
1999,41101,40800,7573
2000,41369,43115,7879
2001,40744,43311,7531
2002,40031,45034,7906
2003,40762,46728,8473
2004,42122,47240,9075
2005,43385,48555,9527
2006,45620,49343,10814
2007,48132,50840,10752
2008,48776,54164,13747
2009,49552,57805,14059
2010,48028,63439,21345
2011,48909,62639,21498
2012,50943,62851,21908
2013,52703,61942,22465
2014,53986,63593,23706
2015,54886,63861,25292
2016,54809,64712,25747
2017,54550,64733,28180
2018,55077,64783,29284
2019,55598,66247,30349
2020,55200,65681,29661
2021,52159,63328,30548
2022,57439,62750,32279
2023,57806,65850,34342
2024,58131,69877,35142
